Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"M Dowling, B Lucey","ChatGPT for (finance) research: The Bananarama conjecture",2023,"Finance Research Letters","Elsevier","https://www.sciencedirect.com/science/article/pii/S1544612323000363","",1,"2023-03-15 07:08:14","HTML","","","",,,,,11,11.00,6,2,1,"We show, based on ratings by finance journal reviewers of generated output, that the recently released AI chatbot ChatGPT can significantly assist with finance research. In principle, â€¦","",""
3,"C Zielinski, M Winker, R Aggarwal, ...","Chatbots, ChatGPT, and Scholarly Manuscripts-WAME Recommendations on ChatGPT and Chatbots in Relation to Scholarly Publications",2023,"â€¦ -Egyptian Journal of â€¦","aeji.journals.ekb.eg","https://aeji.journals.ekb.eg/article_282936.html","",15,"2023-03-15 07:08:14","HTML","","","",,,,,3,3.00,1,4,1,"â€¦ While ChatGPT may prove to be a useful tool for researchers, it represents a threat for scholarly journals because ChatGPT-â€¦ Peer review may not detect ChatGPT-generated content: â€¦","",""
0,"M Balas, E B Ing","Conversational AI Models for ophthalmic diagnosis: Comparison of ChatGPT and the Isabel Pro Differential Diagnosis Generator",2023,"JFO Open Ophthalmology","Elsevier","https://www.sciencedirect.com/science/article/pii/S2949889923000053","",19,"2023-03-15 07:08:14","HTML","","","",,,,,0,0.00,0,2,1,"â€¦ The purpose of this study is to evaluate the use of conversational AI language models, specifically ChatGPT, for the diagnosis of ophthalmic disease, and to compare it to existing tools, â€¦","",""
1,"D L Mann","Artificial Intelligence Discusses the Role of Artificial Intelligence in Translational Medicine: A JACC: Basic to Translational Science Interview With ChatGPT",2023,"Basic to Translational Science","jacc.org","https://www.jacc.org/doi/full/10.1016/j.jacbts.2023.01.001","",30,"2023-03-15 07:08:14","HTML","10.1016/j.jacbts.2023.01.001","","",,,,,1,1.00,1,1,1,"Like many people, I was completely taken in and simultaneously taken aback by the public release of ChatGPT (GPT stands for â€œgenerative pretrained transformerâ€), the natural â€¦","",""
0,"A Lecler, L Duron, P Soyer","Revolutionizing radiology with GPT-based models: Current applications, future possibilities and limitations of ChatGPT",2023,"Diagnostic and Interventional Imaging","Elsevier","https://www.sciencedirect.com/science/article/pii/S221156842300027X","",35,"2023-03-15 07:08:14","HTML","","","",,,,,0,0.00,0,3,1,"â€¦ ChatGPT to various questions that radiologists may have regarding ChatGPT and identifies the potential benefits ChatGPT â€¦ In conclusion, ChatGPT can be useful in radiology research â€¦","",""
0,"D Rozado","The Political Biases of ChatGPT",2023,"Social Sciences","mdpi.com","https://www.mdpi.com/article/10.3390/socsci12030148","",49,"2023-03-15 07:08:14","HTML","10.3390/socsci12030148","","",,,,,0,0.00,0,1,1,"â€¦ ChatGPT from OpenAI. The results are consistent across tests; 14 of the 15 instruments diagnose ChatGPT â€¦ When asked explicitly about its political preferences, ChatGPT often claims to â€¦","",""
0,"V Taecharungroj","â€œWhat Can ChatGPT Do?â€ Analyzing Early Reactions to the Innovative AI Chatbot on Twitter",2023,"Big Data and Cognitive Computing","mdpi.com","https://www.mdpi.com/article/10.3390/bdcc7010035","",55,"2023-03-15 07:08:14","HTML","10.3390/bdcc7010035","","",,,,,0,0.00,0,1,1,"â€¦ is to identify ChatGPTâ€™s functional domains (what can it do?) by analyzing the conversations surrounding ChatGPT on Twitter during the first month after its launch. ChatGPT is the latest â€¦","",""
0,"J Dahmen, M Kayaalp, M Ollivier, A Pareek, ...","Artificial intelligence bot ChatGPT in medical research: the potential game changer as a double-edged sword",2023,"Knee Surgery, Sports â€¦","Springer","https://link.springer.com/article/10.1007/s00167-023-07355-6","",59,"2023-03-15 07:08:14","HTML","10.1007/s00167-023-07355-6","","",,,,,0,0.00,0,5,1,"â€¦ It is a fact that ChatGPT could be used to generate manuscripts that are as such potentially â€¦ article with ChatGPT generating a text that is highly similar to it. Additionally, ChatGPT could â€¦","",""
0,"N Helberger, N Diakopoulos","ChatGPT and the AI Act",2023,"Internet Policy Review","policyreview.info","https://policyreview.info/essay/chatgpt-and-ai-act","",62,"2023-03-15 07:08:14","HTML","","","",,,,,0,0.00,0,2,1,"â€¦ that generative AI like ChatGPT challenges the current risk-â€¦ AI (which includes systems such as ChatGPT and Dall-E) and â€¦ We argue that generative AI systems such as ChatGPT differ â€¦","",""
39,"T H Kung, M Cheatham, A Medenilla, C Sillos, ...","Performance of ChatGPT on USMLE: Potential for AI-assisted medical education using large language models",2023,"PLOS Digital â€¦","journals.plos.org","https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000198&fbclid=IwAR3U9R0A5QwAVMACFfgA79EFYWu32uFE8upittW5ZEb9qaNSZyWXpxdnJU4","",72,"2023-03-15 07:08:14","HTML","","","",,,,,39,39.00,8,5,1,"â€¦ To accomplish this, we evaluated the performance of ChatGPT, a â€¦ We found that ChatGPT performed at or near the passing â€¦ Impressively, ChatGPT was able to achieve this result â€¦","",""
10,"B D Lund, T Wang","Chatting about ChatGPT: how may AI and GPT impact academia and libraries?",2023,"Library Hi Tech News","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/LHTN-01-2023-0009/full/html","",79,"2023-03-15 07:08:14","HTML","10.1108/LHTN-01-2023-0009","","",,,,,10,10.00,5,2,1,"â€¦ with ChatGPT on its potential impact on academia and libraries. The interview discusses the benefits of ChatGPT â€¦ This section will explore how ChatGPT can be used to improve various â€¦","",""
0,"M Cascella, J Montomoli, V Bellini, ...","Evaluating the Feasibility of ChatGPT in Healthcare: An Analysis of Multiple Clinical and Research Scenarios",2023,"Journal of Medical Systems","Springer","https://link.springer.com/article/10.1007/s10916-023-01925-4","",84,"2023-03-15 07:08:14","HTML","10.1007/s10916-023-01925-4","","",,,,,0,0.00,0,4,1,"â€¦ asked ChatGPT to suggest possible situations of misuse. In Table 2, we reported some of the suggestions provided by ChatGPT. â€¦ use of ChatGPT are not exclusively of ChatGPT, what is â€¦","",""
4,"A Gilson, C W Safranek, T Huang, V Socrates, ...","How does CHATGPT perform on the United States Medical Licensing Examination? the implications of large language models for medical education and â€¦",2023,"JMIR Medical â€¦","mededu.jmir.org","https://mededu.jmir.org/2023/1/e45312/","",85,"2023-03-15 07:08:14","HTML","","","",,,,,4,4.00,1,5,1,"â€¦ evaluate the performance of ChatGPT on questions within the â€¦ -choice questions to evaluate ChatGPTâ€™s performance, each with â€¦ ChatGPTâ€™s performance was compared to 2 other large â€¦","",""
0,"A Tlili, B Shehata, M A Adarkwah, A Bozkurt, ...","What if the devil is my guardian angel: ChatGPT as a case study of using chatbots in education",2023,"Smart Learning â€¦","Springer","https://link.springer.com/article/10.1186/s40561-023-00237-x","",110,"2023-03-15 07:08:14","HTML","10.1186/s40561-023-00237-x","","",,,,,0,0.00,0,5,1,"â€¦ , ChatGPT has drawn much public attention across the globe. In this regard, this study examines ChatGPT â€¦ who are approaching cautiously using ChatGPT in educational settings. The â€¦","",""
0,"K Bhattacharya, A S Bhattacharya, ...","ChatGPT in Surgical Practiceâ€”a New Kid on the Block",2023,"Indian Journal of â€¦","Springer","https://link.springer.com/article/10.1007/s12262-023-03727-x","",112,"2023-03-15 07:08:14","HTML","10.1007/s12262-023-03727-x","","",,,,,0,0.00,0,3,1,"ChatGPT is a large language model that was trained by OpenAI. It is capable of generating human-like text and can be used for a variety of tasks such as text completion, text generationâ€¦","",""
0,"A Michail, S Konstantinou, S Clematide","UZH_CLyp at SemEval-2023 Task 9: Head-First Fine-Tuning and ChatGPT Data Generation for Cross-Lingual Learning in Tweet Intimacy Prediction",2023,"arXiv preprint arXiv:2303.01194","arxiv.org","https://arxiv.org/pdf/2303.01194","",2,"2023-03-15 07:08:14","JOUR","","","",,,,,0,0.00,0,3,1,"This paper describes the submission of UZH_CLyp for the SemEval 2023 Task 9 ""Multilingual Tweet Intimacy Analysis"". We achieved second-best results in all 10 languages according â€¦","",""
0,"M H Temsah, A Jamal, J A Al-Tawfiq","Reflection with ChatGPT about the excess death after the COVID-19 pandemic",2023,"New Microbes and New â€¦","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9937725/","",3,"2023-03-15 07:08:14","JOUR","","","",,,,,0,0.00,0,3,1,"Dear Editor, Despite the apparent decrease in COVID-19 mortality in 2022, still, there has been a universal increase in the excess deaths across nations [1] with conflicting estimates [2]. â€¦","",""
0,"S Guo, Y Wang, S Li, N Saeed","Semantic Communications with Ordered Importance using ChatGPT",2023,"arXiv preprint arXiv:2302.07142","arxiv.org","https://arxiv.org/pdf/2302.07142","",4,"2023-03-15 07:08:14","JOUR","","","",,,,,0,0.00,0,4,1,"â€¦ ) using ChatGPT can be compatible with the current communication systems. Our experimental results show that ChatGPT â€¦ words and the semantic meaning loss measured by ChatGPT. â€¦","",""
0,"H Dai, Z Liu, W Liao, X Huang, Z Wu, L Zhao, ...","ChatAug: Leveraging ChatGPT for Text Data Augmentation",2023,"arXiv preprint arXiv â€¦","arxiv.org","https://arxiv.org/pdf/2302.13007","",5,"2023-03-15 07:08:14","JOUR","","","",,,,,0,0.00,0,7,1,"â€¦ a (top panel): First, we apply ChatGPT for data augmentation. We input samples of all classes into ChatGPT and prompt ChatGPT to generate samples that preserves semantic â€¦","",""
5,"D Sobania, M Briesch, C Hanna, J Petke","An analysis of the automatic bug fixing performance of chatgpt",2023,"arXiv preprint arXiv:2301.08653","arxiv.org","https://arxiv.org/pdf/2301.08653","",6,"2023-03-15 07:08:14","JOUR","","","",,,,,5,5.00,1,4,1,"â€¦ Given that ChatGPT provides a unique opportunity of a â€¦ provide ChatGPT with a hint, based on ChatGPTâ€™s response. If â€¦ addressed by ChatGPT (see Table I), we provide ChatGPT with a â€¦","",""
6,"A Gilson, C Safranek, T Huang, V Socrates, L Chi, ...","How Well Does ChatGPT Do When Taking the Medical Licensing Exams? The Implications of Large Language Models for Medical Education and Knowledge â€¦",2022,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2022.12.23.22283901.full.pdf","",7,"2023-03-15 07:08:14","JOUR","10.1101/2022.12.23.22283901.abstract","","",,,,,6,6.00,1,6,1,"â€¦ In this paper we aim to assess the medical knowledge of ChatGPT by quantifying its â€¦ ChatGPT to serve as a virtual medical tutor, we qualitatively examine the integrity of ChatGPTâ€¦","",""
1,"A Zarifhonarvar","Economics of ChatGPT: A Labor Market View on the Occupational Impact of Artificial Intelligence",2023,"Available at SSRN 4350925","papers.ssrn.com","https://www.econstor.eu/bitstream/10419/268826/1/Main Text %28Economics of ChatGPT%29 SSRN.pdf","",9,"2023-03-15 07:08:14","JOUR","","","",,,,,1,1.00,1,1,1,"â€¦ Because ChatGPT and other AI-powered services may automate a â€¦ ChatGPT, and I will focus on some of the most important findings. In addition, I will evaluate the effects that ChatGPT â€¦","",""
1,"A H S Kumar","Analysis of ChatGPT Tool to Assess the Potential of its Utility for Academic Writing in Biomedical Domain",2023,"Biology, Engineering, Medicine and Science Reports","bemsreports.org","https://www.bemsreports.org/index.php/bems/article/download/132/180","",10,"2023-03-15 07:08:14","JOUR","","","",,,,,1,1.00,1,1,1,"â€¦ of ChatGPT for academic writing in biomedical sciences. Materials and Methods: five randomly selected quey topics were input into ChatGPT for a response. The ChatGPT response â€¦","",""
0,"F Huang, H Kwak, J An","Is ChatGPT better than Human Annotators? Potential and Limitations of ChatGPT in Explaining Implicit Hate Speech",2023,"arXiv preprint arXiv:2302.07736","arxiv.org","https://arxiv.org/pdf/2302.07736","",11,"2023-03-15 07:08:14","JOUR","","","",,,,,0,0.00,0,3,1,"â€¦ ChatGPT can be used for providing natural language explanations (NLEs) for implicit hateful speech detection. We design our prompt to elicit concise ChatGPTâ€¦ limitations of ChatGPT in â€¦","",""
2,"N S L Yeo-Teh, B L Tang","Letter to Editor: NLP systems such as ChatGPT cannot be listed as an author because these cannot fulfill widely adopted authorship criteria",2023,"Accountability in research","Taylor &Francis","https://www.tandfonline.com/doi/full/10.1080/08989621.2023.2177160","",12,"2023-03-15 07:08:14","JOUR","10.1080/08989621.2023.2177160","","",,,,,2,2.00,1,2,1,"â€¦ ChatGPT being named among the authors have prompted negative reactions from the scientific community, and several publishers have indicated that ChatGPT â€¦ Although ChatGPT and â€¦","",""
1,"J Gunawan","Exploring the future of nursing: Insights from the ChatGPT model",2023,"Belitung Nursing Journal","belitungraya.org","https://www.belitungraya.org/BRP/index.php/bnj/article/download/2551/571","",13,"2023-03-15 07:08:14","JOUR","","","",,,,,1,1.00,1,1,1,"â€¦ was written by ChatGPT in response to prompts from JG. ChatGPT: ChatGPT is a large â€¦ This article was written by ChatGPT in response to prompts provided by JG. It is important to â€¦","",""
0,"M Sallam","The Utility of ChatGPT as an Example of Large Language Models in Healthcare Education, Research and Practice: Systematic Review on the Future Perspectives and â€¦",2023,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/medrxiv/early/2023/02/21/2023.02.19.23286155.full.pdf","",14,"2023-03-15 07:08:14","JOUR","10.1101/2023.02.19.23286155.abstract","","",,,,,0,0.00,0,1,1,"â€¦ to investigate the possible utility of ChatGPT and to highlight its limitations â€¦ â€œChatGPTâ€. Eligibility criteria included the published research or preprints of any type that discussed ChatGPT â€¦","",""
0,"A Ahmad, M Waseem, P Liang, M Fehmideh, ...","Towards Human-Bot Collaborative Software Architecting with ChatGPT",2023,"arXiv preprint arXiv â€¦","arxiv.org","https://arxiv.org/pdf/2302.14600","",17,"2023-03-15 07:08:14","JOUR","","","",,,,,0,0.00,0,5,1,"â€¦ enable this collaboration is ChatGPT, a â€¦ ChatGPT for architectural analysis, synthesis, and evaluation of a services-driven software application. Preliminary results indicate that ChatGPT â€¦","",""
1,"H Alshurafat","The Usefulness and Challenges of Chatbots for Accounting Professionals: Application On ChatGPT",2023,"Available at SSRN 4345921","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4345921","",18,"2023-03-15 07:08:14","JOUR","","","",,,,,1,1.00,1,1,1,"â€¦ of ChatGPT for accounting professionals. As technology continues to impact a range of industries, the field of accounting is no exception. ChatGPT, a â€¦ implementation of ChatGPT in â€¦","",""
0,"P Tsigaris, J A Teixeira da Silva","Can ChatGPT be trusted to provide reliable estimates?",2023,"Accountability in Research","Taylor &Francis","https://www.tandfonline.com/doi/pdf/10.1080/08989621.2023.2179919","",20,"2023-03-15 07:08:14","JOUR","10.1080/08989621.2023.2179919","","",,,,,0,0.00,0,2,1,"â€¦ to obtain information from ChatGPT about the surface area of â€¦ We wanted to test if ChatGPT could replicate this knowledge â€¦ Furthermore, ChatGPT also made an easy calculation error â€¦","",""
0,"N Tiwary","Netizens, Academicians, and Information Professionals' Opinions About AI With Special Reference To ChatGPT",2023,"arXiv preprint arXiv:2302.07136","arxiv.org","https://arxiv.org/pdf/2302.07136","",21,"2023-03-15 07:08:14","JOUR","","","",,,,,0,0.00,0,1,1,"This study aims to understand the perceptions and opinions of academicians towards ChatGPT-3 by collecting and analyzing social media comments, and a survey was conducted with â€¦","",""
0,"J Willems","ChatGPT at Universitiesâ€“The Least of Our Concerns",2023,"Available at SSRN 4334162","papers.ssrn.com","https://www.researchgate.net/profile/Jurgen-Willems/publication/367339894_ChatGPT_at_universities_-The_least_of_our_concerns/links/63ce4071e922c50e99b91c7d/ChatGPT-at-universities-The-least-of-ou","",22,"2023-03-15 07:08:14","JOUR","","","",,,,,0,0.00,0,1,1,"â€¦ When Nature reports on a vivid debate in the scientific community that ChatGPT recently occurred as a co-author on scientific articles (Stokel-Walker, 2023), we know what time it is: â€œChatGPT â€¦","",""
0,"M Perkins","Academic Integrity considerations of AI Large Language Models in the post-pandemic era: ChatGPT and beyond",2023,"Journal of University Teaching &Learning Practice","ro.uow.edu.au","https://ro.uow.edu.au/cgi/viewcontent.cgi?article=3071&context=jutlp","",23,"2023-03-15 07:08:14","JOUR","","","",,,,,0,0.00,0,1,1,"This paper explores the academic integrity considerations of studentsâ€™ use of Artificial Intelligence tools using Large Language Models (LLMs) such as ChatGPT in formal â€¦","",""
0,"P Shakarian, A Koyyalamudi, N Ngu, ...","An Independent Evaluation of ChatGPT on Mathematical Word Problems (MWP)",2023,"arXiv preprint arXiv â€¦","arxiv.org","https://arxiv.org/pdf/2302.13814","",24,"2023-03-15 07:08:14","JOUR","","","",,,,,0,0.00,0,4,1,"â€¦ the first independent evaluation of ChatGPT. We found that ChatGPTâ€™s performance changes â€¦ We also have released the dataset of ChatGPTâ€™s responses to the MWPs to support further â€¦","",""
0,"L Ante, E Demir","The ChatGPT Effect on AI-themed cryptocurrencies",2023,"Available at SSRN 4350557","papers.ssrn.com","https://www.researchgate.net/profile/Lennart-Ante/publication/368316220_The_ChatGPT_Effect_on_AI-themed_cryptocurrencies/links/63e24ddce2e1515b6b794af6/The-ChatGPT-Effect-on-AI-themed-cryptocurre","",25,"2023-03-15 07:08:14","JOUR","","","",,,,,0,0.00,0,2,1,"â€¦ ChatGPT. We reveal significant abnormal returns for AI tokens after the launch of ChatGPT, up to â€¦ This suggests that the attention towards ChatGPT and AI in general has transitioned to â€¦","",""
2,"L Floridi","AI as Agency without Intelligence: On ChatGPT, large language models, and other generative models",2023,"Philosophy and Technology","papers.ssrn.com","https://www.academia.edu/download/98792736/SSRN_version_PHTE_March_2023_EH2LF.pdf","",26,"2023-03-15 07:08:14","JOUR","","","",,,,,2,2.00,2,1,1,"The article discusses the recent advancements in artificial intelligence (AI) and the development of large language models (LLMs) such as ChatGPT. The article argues that these LLMs â€¦","",""
0,"J KocoÅ„, I Cichecki, O Kaszyca, M Kochanek, ...","ChatGPT: Jack of all trades, master of none",2023,"arXiv preprint arXiv â€¦","arxiv.org","https://arxiv.org/pdf/2302.10724","",27,"2023-03-15 07:08:14","JOUR","","","",,,,,0,0.00,0,5,1,"â€¦ like ChatGPT on various NLP tasks in this work. We focus on evaluating the ChatGPT system â€¦ for which there is a high probability that ChatGPT could be wrong. This intuition is based on â€¦","",""
2,"R A Khan, M Jawaid, A R Khan, M Sajjad","ChatGPT-Reshaping medical education and clinical management",2023,"Pakistan Journal of Medical â€¦","pjms.org.pk","https://www.pjms.org.pk/index.php/pjms/article/download/7653/1673","",28,"2023-03-15 07:08:14","JOUR","","","",,,,,2,2.00,1,4,1,"â€¦ ChatGPT is the most widely known of the list with an amazing ability of content generation2. ChatGPT is â€¦ The purpose of ChatGPT is to generate text that mimics natural human language â€¦","",""
2,"K Wenzlaff, S Spaeth","Smarter than Humans? Validating how OpenAI's ChatGPT model explains Crowdfunding, Alternative Finance and Community Finance.",2022,"Validating how OpenAI's ChatGPT model â€¦","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4302443","",31,"2023-03-15 07:08:14","JOUR","","","",,,,,2,2.00,1,2,1,"â€¦ (1) Can we ask ChatGPT a series of further questions to which â€¦ (2) Can we ask ChatGPT a series of questions to which we â€¦ at least judge the responses from ChatGPT on their merits, in â€¦","",""
5,"F Antaki, S Touma, D Milad, J El-Khoury, R Duval","Evaluating the performance of chatgpt in ophthalmology: An analysis of its successes and shortcomings",2023,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/medrxiv/early/2023/01/24/2023.01.22.23284882.full.pdf","",32,"2023-03-15 07:08:14","JOUR","10.1101/2023.01.22.23284882.abstract","","",,,,,5,5.00,1,5,1,"We tested the accuracy of ChatGPT, a large language model (LLM), in the ophthalmology question-answering space using two popular multiple choice question banks used for the high-â€¦","",""
1,"F Sanmarchi, D Golinelli, A Bucci","A step-by-step Researcher's Guide to the use of an AI-based transformer in epidemiology: an exploratory analysis of ChatGPT using the STROBE checklist for â€¦",2023,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2023.02.06.23285514.full.pdf","",34,"2023-03-15 07:08:14","JOUR","10.1101/2023.02.06.23285514.abstract","","",,,,,1,1.00,0,3,1,"Objectives. This study aims at investigating how early-stage AI-based transformers can support researchers in designing and conducting an epidemiological study. To accomplish this, â€¦","",""
0,"C Krettek","ChatGPT",2023,"Die Unfallchirurgie","Springer","https://link.springer.com/article/10.1007/s00113-023-01296-y","",36,"2023-03-15 07:08:14","JOUR","10.1007/s00113-023-01296-y","","",,,,,0,0.00,0,1,1,"â€¦ Die Trainingsdaten von ChatGPT bestehen aus einer groÃŸen Menge von Menschen â€¦ von ChatGPT haben trotz einiger PerformancelÃ¼cken selbst Experten Ã¼berrascht. ChatGPT leistet â€¦","",""
7,"M M Alshater","Exploring the role of artificial intelligence in enhancing academic performance: A case study of ChatGPT",2022,"Available at SSRN","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4312358","",37,"2023-03-15 07:08:14","JOUR","","","",,,,,7,7.00,7,1,1,"â€¦ specifically ChatGPT, in enhancing academic performance. We will examine how ChatGPT â€¦ capabilities, benefits, and limitations of using ChatGPT in research. We will also address the â€¦","",""
11,"J Rudolph, S Tan, S Tan","ChatGPT: Bullshit spewer or the end of traditional assessments in higher education?",2023,"Journal of Applied Learning and Teaching","journals.sfu.ca","https://journals.sfu.ca/jalt/index.php/jalt/article/download/689/539","",38,"2023-03-15 07:08:14","JOUR","","","",,,,,11,11.00,4,3,1,"â€¦ journal articles to thematise ChatGPT and higher education. We describe ChatGPTâ€™s functionality and â€¦ in higher education in the context of AI chatbots such as ChatGPT? In positioning â€¦","",""
1,"P Maddigan, T Susnjak","Chat2vis: Generating data visualisations via natural language using chatgpt, codex and gpt-3 large language models",2023,"arXiv preprint arXiv:2302.02094","arxiv.org","https://arxiv.org/pdf/2302.02094","",39,"2023-03-15 07:08:14","JOUR","","","",,,,,1,1.00,1,2,1,"â€¦ in pre-trained large language models (LLMs) such as ChatGPT and GPT-3 to convert free-form â€¦ This work compares the performance of GPT-3, Codex and ChatGPT across a number of â€¦","",""
1,"N Kurian, J M Cherian, N A Sudharson, ...","AI is now everywhere",2023,"British Dental â€¦","nature.com","https://www.nature.com/articles/s41415-023-5461-1.pdf","",41,"2023-03-15 07:08:14","JOUR","","","",,,,,1,1.00,0,4,1,"â€¦ By 4 December 2022, OpenAI estimated ChatGPT already had over one million users. At its core, ChatGPT is a large language model and is an AI-powered conversational chatbot, â€¦","",""
